Company Name,Rating,Role,Average Salary
Tata Consultancy Services,3.9,Data Scientist,780000.0
IBM,4.0,Data Scientist,1200000.0
Accenture,4.0,Data Scientist,1051857.0
Mu Sigma,3.5,Data Scientist,725000.0
Infosys,3.3,Data Scientist,770714.0
Cognizant Technology Solutions,3.8,Data Scientist,811609.0
Fractal,4.1,Data Scientist,1723101.0
Amazon,3.8,Data Scientist,1570880.0
Capgemini,3.8,Data Scientist,834034.0
Tiger Analytics,4.2,Data Scientist,1512500.0
Microsoft,4.3,Data Scientist,1944192.0
Google,4.4,Data Scientist,1652890.0
Wipro,3.1,Data Scientist,817757.0
Jio,3.8,Data Scientist,1500000.0
Anheuser-Busch InBev,3.8,Data Scientist,2039418.0
Impact Analytics,4.0,Data Scientist,760137.0
Deloitte,4.1,Data Scientist,1279175.0
TuringMinds.Ai,2.6,Data Scientist,500000.0
ZS Associates,3.8,Data Scientist,1500000.0
LTI,3.8,Data Scientist,843201.0
Ericsson-Worldwide,3.9,Data Scientist,1065980.0
Optum,3.6,Data Scientist,1598530.0
Genpact,3.9,Data Scientist,1000100.0
Tech Mahindra,3.6,Data Scientist,809761.0
Fresher,4.1,Data Scientist,500000.0
HCLTech,3.7,Data Scientist,887579.0
ABC,3.9,Data Scientist,734483.0
EXL Service,3.8,Data Scientist,1200000.0
UnitedHealth Group,3.7,Data Scientist,1444094.0
Shell,4.1,Data Scientist,1925000.0
Flipkart,4.0,Data Scientist,3200000.0
Embibe,4.3,Data Scientist,1419536.0
Oracle,3.9,Data Scientist,1531212.0
EY,3.9,Data Scientist,1000000.0
Reliance Industries,3.9,Data Scientist,985625.0
Great Learning,4.0,Data Scientist,871261.0
Cyient,3.6,Data Scientist,858851.0
HP Inc.,4.2,Data Scientist,1686280.0
Optum Global Solutions,4.0,Data Scientist,1598969.0
DXC Technology,3.6,Data Scientist,817720.0
MiQ,3.9,Data Scientist,1721496.0
Ola,3.0,Data Scientist,2100000.0
Ford Motor Company,4.1,Data Scientist,1351366.0
INSOFE,3.9,Data Scientist,745544.0
Nielsen,3.7,Data Scientist,742717.0
PwC,3.9,Data Scientist,1171543.0
Société Générale,3.5,Data Scientist,1962623.0
Ganit,4.0,Data Scientist,1332771.0
PayPal,4.0,Data Scientist,2699618.0
Verizon,3.9,Data Scientist,1292244.0
TCS,3.9,Data Scientist,762500.0
Innoplexus,4.3,Data Scientist,1394490.0
Honeywell,4.0,Data Scientist,1606998.0
HiLabs,3.7,Data Scientist,2035531.0
Mindtree,4.0,Data Scientist,1200000.0
Walmart Global Tech,3.9,Data Scientist,2769824.0
dunnhumby,4.3,Data Scientist,1259872.0
Micron Technology,3.8,Data Scientist,1655233.0
HDFC Bank,3.6,Data Scientist,1341543.0
Delhivery,3.6,Data Scientist,1379526.0
Mastercard,4.3,Data Scientist,2400000.0
Wolters Kluwer,3.7,Data Scientist,1191427.0
Bharti Airtel,4.2,Data Scientist,2113393.0
Nagarro,4.2,Data Scientist,1375525.0
Axis Bank,3.8,Data Scientist,1254637.0
Fidelity Investments,4.3,Data Scientist,2838045.0
Mercedes-Benz Research and Development India,4.0,Data Scientist,1443835.0
Walmart,3.3,Data Scientist,3274097.0
Tredence,4.1,Data Scientist,1224508.0
AlgoAnalytics Financial Consultancy,3.9,Data Scientist,900000.0
SAP,4.4,Data Scientist,1778113.0
Innominds Software,3.5,Data Scientist,969880.0
iNeuron,4.4,Data Scientist,617007.0
Philips,3.7,Data Scientist,1542723.0
Innovaccer,3.6,Data Scientist,1345500.0
Bajaj Finance,3.7,Data Scientist,1170000.0
Decision Point,4.0,Data Scientist,1100773.0
Flutura,4.5,Data Scientist,800000.0
Lumiq (India),3.5,Data Scientist,818700.0
Tata Consultancy Services (North America),3.8,Data Scientist,790026.0
Thoucentric,4.1,Data Scientist,888514.0
Gojek,4.2,Data Scientist,3426438.0
Cognizant,3.8,Data Scientist,1000000.0
Cisco Systems,4.4,Data Scientist,1600000.0
Brillio,3.8,Data Scientist,1483926.0
Fuzzy Logix,3.6,Data Scientist,1730517.0
Applied Data Finance,4.4,Data Scientist,920000.0
Paytm,3.6,Data Scientist,1800000.0
Subex,3.5,Data Scientist,1015866.0
Citi,3.9,Data Scientist,1881834.0
Gramener,4.5,Data Scientist,856349.0
Sigmoid,4.0,Data Scientist,1443092.0
Atos-Syntel,3.6,Data Scientist,981841.0
ABB,4.0,Data Scientist,1175316.0
Intel Corporation,4.2,Data Scientist,1960000.0
TheMathCompany,4.1,Data Scientist,846949.0
Blackstraw,4.0,Data Scientist,1034707.0
Celebal Technologies,4.1,Data Scientist,800000.0
ITC Infotech,3.2,Data Scientist,706901.0
CitiusTech,3.8,Data Scientist,957229.0
Siemens,4.1,Data Scientist,1224869.0
OYO,3.3,Data Scientist,1320955.0
J.P. Morgan,4.0,Data Scientist,2048386.0
Affine,3.9,Data Scientist,1042542.0
Swiggy,4.0,Data Scientist,2221285.0
Antuit,3.9,Data Scientist,1355305.0
Myntra,4.1,Data Scientist,2100379.0
Hewlett Packard Enterprise | HPE,4.2,Data Scientist,2333076.0
Scienaptic Systems,4.4,Data Scientist,1422490.0
ThinkBumblebee Analytics,4.5,Data Scientist,1281310.0
NeenOpal,4.2,Data Scientist,828933.0
DONE by NONE,4.0,Data Scientist,510463.0
Ericsson IT Solutions & Services,4.1,Data Scientist,1003684.0
NTT DATA,3.5,Data Scientist,623893.0
[24]7.ai,4.1,Data Scientist,1708413.0
Incedo,3.9,Data Scientist,1255556.0
NielsenIQ,3.9,Data Scientist,854241.0
Housing.com,4.1,Data Scientist,2119156.0
VMock,4.2,Data Scientist,1934061.0
Novartis,4.0,Data Scientist,1486376.0
Decimal Point Analytics,4.3,Data Scientist,1200000.0
IQVIA,4.0,Data Scientist,910000.0
Nones,3.9,Data Scientist,765026.0
Sprinklr,3.6,Data Scientist,1732982.0
Vodafone,4.0,Data Scientist,988804.0
XYZ,3.8,Data Scientist,575000.0
Dell Technologies,4.2,Data Scientist,1669550.0
Algoscale,3.5,Data Scientist,610853.0
Robert Bosch India,4.1,Data Scientist,1277520.0
Octro,3.9,Data Scientist,881058.0
Aaum Research and Analytics,3.6,Data Scientist,500598.0
eClerx,3.6,Data Scientist,903334.0
Intellect Design Arena,4.1,Data Scientist,1024193.0
Wells Fargo,3.7,Data Scientist,1900687.0
Enquero,4.0,Data Scientist,946769.0
Adobe,4.4,Data Scientist,2400000.0
Quadratic Insights,4.0,Data Scientist,612556.0
KPMG,3.8,Data Scientist,1200000.0
Mphasis,3.6,Data Scientist,1038314.0
Zee Entertainment Enterprises Ltd.,3.7,Data Scientist,2200000.0
Curl Analytics,4.6,Data Scientist,1200000.0
CARS24.com,4.2,Data Scientist,1200000.0
Zensar Technologies,3.9,Data Scientist,1229032.0
Kotak Mahindra Bank,3.7,Data Scientist,900000.0
Claim Genius,3.3,Data Scientist,1409550.0
Bepec Solutions,4.2,Data Scientist,640000.0
Valiance Solutions,4.4,Data Scientist,1005636.0
American Express,4.2,Data Scientist,1899534.0
Publicis Sapient,3.8,Data Scientist,1666492.0
Abzooba,4.7,Data Scientist,1100000.0
Sutherland,3.7,Data Scientist,719544.0
SPi Global,3.6,Data Scientist,793182.0
Legato Health Technologies,4.0,Data Scientist,1302076.0
Teleperformance,4.2,Data Scientist,800000.0
Noodle.ai,3.8,Data Scientist,1684096.0
Quantiphi,3.6,Data Scientist,954907.0
HDFC Standard Life Insurance,3.8,Data Scientist,1236059.0
Virtusa,3.8,Data Scientist,618847.0
R Systems,3.9,Data Scientist,1775000.0
MAERSK,4.2,Data Scientist,2320770.0
Jotter,2.9,Data Scientist,886987.0
SLB,4.0,Data Scientist,1969880.0
Happiest Minds Technologies,4.3,Data Scientist,1066386.0
IELEKTRON TECHNOLOGIES ENGINEERING PRIVATE LIMITED,4.4,Data Scientist,700000.0
Target,3.6,Data Scientist,1338619.0
ICICI Bank,3.7,Data Scientist,1366385.0
o9 Solutions,4.0,Data Scientist,1200000.0
Episource,3.7,Data Scientist,1135503.0
XYZ,3.7,Data Scientist,711245.0
GEP,3.9,Data Scientist,1100000.0
Data Sutram,3.8,Data Scientist,600000.0
RBL Bank,3.6,Data Scientist,1400000.0
Lowe's Home Improvement,3.5,Data Scientist,2000000.0
Innodatatics,4.3,Data Scientist,646587.0
Amdocs,4.0,Data Scientist,666385.0
CrowdANALYTIX,4.6,Data Scientist,694297.0
Freelancer,4.2,Data Scientist,714647.0
Caterpillar,4.0,Data Scientist,1291759.0
GE,4.0,Data Scientist,1201228.0
MakeMyTrip,4.2,Data Scientist,1332771.0
Xalt Analytics,1.0,Data Scientist,500000.0
GlobusSoft,4.4,Data Scientist,360000.0
Bharat Light & Power,4.2,Data Scientist,896616.0
LinkedIn,4.4,Data Scientist,2633808.0
L&T Finance,3.7,Data Scientist,865716.0
LatentView Analytics,4.1,Data Scientist,946769.0
Kyndryl,3.8,Data Scientist,2000000.0
Times Internet,4.2,Data Scientist,2800506.0
Flip Robo,4.4,Data Scientist,500000.0
HighRadius,3.7,Data Scientist,1000000.0
Persistent Systems,4.0,Data Scientist,900000.0
Knowledge Lens,4.3,Data Scientist,1100000.0
KPIT Technologies,3.8,Data Scientist,1100000.0
Apexon,4.0,Data Scientist,1186094.0
Franklin Templeton Investments,3.9,Data Scientist,2547870.0
EMPLOYERS,3.8,Data Scientist,613536.0
Algo8.ai,3.5,Data Scientist,752353.0
Loylty Rewardz Mngt,3.8,Data Scientist,1159025.0
Neustar,4.3,Data Scientist,3107000.0
Verisk,3.8,Data Scientist,685126.0
AlmaBetter,4.2,Data Scientist,623094.0
Piramal Enterprises,3.8,Data Scientist,1350000.0
Wns Global Services,3.5,Data Scientist,760000.0
TransOrg Analytics,3.1,Data Scientist,909677.0
McKinsey & Company,4.3,Data Scientist,2313732.0
Eaton,3.9,Data Scientist,1219277.0
Gartner,4.1,Data Scientist,1869761.0
Michelin,4.1,Data Scientist,1188978.0
Course5 Intelligence,4.4,Data Scientist,1176875.0
Aera Technology,3.5,Data Scientist,1710000.0
Vodafone Idea,3.9,Data Scientist,2158653.0
HTC Global Services,3.6,Data Scientist,638814.0
Other,4.1,Data Scientist,682012.0
S&P Global,4.1,Data Scientist,1303000.0
Akaike Technologies,4.8,Data Scientist,858696.0
Zomato,3.9,Data Scientist,1895783.0
Mahindra,4.0,Data Scientist,1084031.0
T-Systems,4.0,Data Scientist,1330481.0
ParallelDots,4.3,Data Scientist,912330.0
Applied Materials,4.1,Data Scientist,1637399.0
HSBC,3.8,Data Scientist,1184275.0
Rakuten,3.7,Data Scientist,1960000.0
Blue Yonder,4.1,Data Scientist,2023536.0
CRED,4.4,Data Scientist,3127627.0
Aidetic,4.2,Data Scientist,650000.0
TVS Credit Services,4.2,Data Scientist,798232.0
TVS Motor Company,3.8,Data Scientist,1200000.0
Arya.ai,4.2,Data Scientist,886987.0
Hinduja Global Solutions,3.5,Data Scientist,1220794.0
VMware,4.3,Data Scientist,2100000.0
BYJU'S,3.3,Data Scientist,615000.0
CASHe,3.6,Data Scientist,1134564.0
UPL,4.3,Data Scientist,1700386.0
Synechron,4.3,Data Scientist,1140412.0
Idexcel,4.0,Data Scientist,537917.0
Karvy Group,3.3,Data Scientist,726820.0
Tableau Software,3.8,Data Scientist,666385.0
Robert Bosch,4.2,Data Scientist,1224596.0
Loyalytics Consulting,4.1,Data Scientist,950000.0
Shadowfax Technologies,4.2,Data Scientist,2081693.0
Nokia,4.2,Data Scientist,1726765.0
Info Edge,4.0,Data Scientist,2000000.0
nference,3.9,Data Scientist,2451753.0
